Hastane,Toplantı No,Toplantı Tarihi,Alınan Kararlar,İlgii Kategori,Sorumlu,Mevcut Durum,Termin,Tamamlanma Tarihi,Sonuç / Açıklama / Değerlendirme,Öncelik Seviyesi
VM MP Bursa,2026-01,1/28/26,"Alt işveren firmalardan alınan İSG verilerinin düzenli, eksiksiz ve izlenebilir olmasının gerekliliği görüşülmüştür. Alt işveren firmaların İSG kapsamındaki verilerini aylık periyotlar halinde düzenli olarak İş Güvenliği Birimine iletmelerine karar verilmiştir.",Diğer,İnsan Kaynakları,Devam Ediyor,,,,Düşük
VM MP Bursa,2026-01,1/28/26,2026 yılına ait yıllık çalışma planı kurul tarafından değerlendirilmiştir.2026 yılı yıllık çalışma planının kurul tarafından uygun bulunarak onaylanmasına karar verilmiştir.,Diğer,Tüm Birimler,Tamamlandı,1/28/26,1/28/26,,Orta
VM MP Bursa,2026-01,1/28/26,"2026 yılı risk değerlendirme çalışmalarının planlanması değerlendirilmiştir. Risk değerlendirme sürecine derhal başlanmasına, çalışmaların bölüm bazlı olarak bölüm sorumluları ve Kalite Birimi eşliğinde yürütülmesine ve sürecin Mart ayı içerisinde tamamlanmasına karar verilmiştir.",Diğer,Tüm Birimler,Devam Ediyor,3/30/26,,,Kritik
VM MP Bursa,2026-01,1/28/26,"Kafeterya ve yemekhane alanlarında yürütülen gıda güvenliği uygulamaları değerlendirilmiştir. Mevcut kalite kontrollerinin devam ettiği, ancak kafeterya alanında daha dikkatli olunması gerektiği ifade edilmiştir.Gıda güvenliği kapsamında yürütülen kalite kontrollerinin devam etmesine, özellikle kafeterya bölümünde hijyen ve uygulamalara daha fazla özen gösterilmesine karar verilmiştir.",Diğer,İnsan Kaynakları,Devam Ediyor,,,,Kritik
VM MP Bursa,2026-01,1/28/26,Sebillerin düzenli temizlenmesinin çalışan sağlığı açısından önemli olduğu değerlendirilmiştir. Sebillerin periyodik temizlik ve hijyen uygulamalarının Otelcilik Bölümü tarafından düzenli şekilde sürdürülmesine karar verilmiştir,Cihaz-Ekipman-Malzeme Yönetimi,İnsan Kaynakları,Devam Ediyor,,,,Kritik
VM MP Bursa,2026-01,1/28/26,Otelcilik bölümüne ait temizlik kimyasallarının depolandığı alanda dökülme riskleri değerlendirilmiştir.Kimyasal dökülme riskine karşı ilgili depolama alanına taşma kabı yapılmasına ve uygulamanın Şubat ayı içerisinde tamamlanmasına karar verilmiştir.,Çevre Yönetimi,Teknik Hizmetler,Tamamlandı,2/28/26,1/5/26,,Kritik
VM MP Bursa,2026-01,1/28/26,Yemekhaneye ait yağ tutucu sisteminin temizlik ve bakım faaliyetleri ele alınmıştır. Yağ tutucu sisteminin bakım ve boşaltılması operasyonlarının ISS sorumluluğunda alan temizliği ve ekipman iyileştirmesinin Otelcilik Bölümü sorumluluğunda yürütülmesine karar verilmiştir.,Cihaz-Ekipman-Malzeme Yönetimi,İnsan Kaynakları,Devam Ediyor,,,,Kritik
VM MP Bursa,2026-01,1/28/26,"İşletme bünyesindeki farklı birimlerin yürüttüğü faaliyetlerde, iş güvenliğini etkileyebilecek süreç değişikliklerinin zamanında paylaşılmasının önemi vurgulanmıştır.İş sağlığı ve güvenliğini ilgilendiren tüm süreç, faaliyet ve değişikliklerin İş Güvenliği Birimine gecikmeksizin bildirilmesine karar verilmiştir.",Diğer,Tüm Birimler,Devam Ediyor,,,,Orta
VM MP Bursa,2026-02,2/27/26,"Acil durum yönlendirme işaretlerinin kurum genelinde yeterliliğinin sağlanmasının, acil durumlarda çalışanların ve ziyaretçilerin güvenli tahliyesi açısından önemli olduğu değerlendirilmiştir. Acil durum yönlendirme işaretlerinin saha genelinde gözden geçirilmesine, eksik veya hatalı olanların tespit edilerek mevzuata uygun şekilde tamamlanmasına karar verilmiştir.",Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,4/30/26,,,Kritik
VM MP Bursa,2026-02,2/27/26,"Otopark alanındaki aydınlatma seviyesinin yetersiz olmasının, özellikle gece saatlerinde çalışanlar ve ziyaretçiler açısından güvenlik riski oluşturabileceği değerlendirilmiştir. Otopark alanında bulunan aydınlatma sistemlerinin gözden geçirilmesine ve yetersiz aydınlatmanın giderilmesine yönelik gerekli iyileştirmelerin yapılmasına karar verilmiştir.",Emniyet,Teknik Hizmetler,Devam Ediyor,4/30/26,,,Yüksek Riskli
VM MP Bursa,2026-02,2/27/26,"Bina içerisinde özellikle zemin alanlarda bulunan seramik deformasyonlarının, kayma, takılma ve düşme gibi iş kazalarına sebebiyet verebileceği değerlendirilmiştir. Söz konusu seramik deformasyonlarının tespit edilerek çalışan güvenliğini tehlikeye düşürmeyecek şekilde ivedilikle yenilenmesine karar verilmiştir.",İnşaat-Renovasyon,Teknik Hizmetler,Devam Ediyor,3/30/26,,,Kritik
